prefecture,date,city,location,longitude,latitude
山梨県,2024-09-19,上野原市,四方津,139.07814,35.613949
静岡県,2024-09-21,富士宮市,内房,138.541122,35.189018
神奈川県,2024-09-21,相模原市,緑区小渕,139.137421,35.623451
山梨県,2024-09-21,身延町,清子,138.438217,35.343529
山梨県,2024-09-22,身延町,北川,138.499924,35.466507
神奈川県,2024-09-22,清川村,煤ケ谷,139.262299,35.484276
神奈川県,2024-09-23,清川村,煤ケ谷,139.262299,35.484276
静岡県,2024-09-23,富士宮市,上袖野,138.554672,35.272873
山梨県,2024-09-24,上野原市,鶴島,139.116623,35.602837
山梨県,2024-09-24,山中湖村,長池,138.861084,35.410591
山梨県,2024-09-24,北杜市,武川町柳澤,138.314697,35.749619
静岡県,2024-09-24,富士宮市,上稲子,138.534805,35.283268
神奈川県,2024-09-25,秦野市,横野,139.179199,35.417397
山梨県,2024-09-25,道志村,大栗,139.0439,35.532036
神奈川県,2024-09-26,秦野市,横野,139.179199,35.417397
山梨県,2024-09-26,北杜市,武川町山高,138.33902,35.772934
山梨県,2024-09-26,北杜市,白州町白須,138.267776,35.79528
山梨県,2024-09-26,身延町,粟倉,138.42038,35.426502
神奈川県,2024-09-27,愛川町,八菅山,139.322449,35.512508
神奈川県,2024-09-28,伊勢原市,大山,139.246063,35.42717
山梨県,2024-09-28,富士吉田市,上暮地,138.827469,35.508064
山梨県,2024-09-28,南アルプス市,上市之瀬,138.392929,35.599277
山梨県,2024-09-29,都留市,宝地内,138.905533,35.551628
